Full_Prompt,Survey_Date,Response,Gender,Age,Geography,Weight,RT,User_ID
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,45-54,US-SOUTH-VA,1.347199,12183,1000672929
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Male,25-34,US-NORTHEAST-NJ,0.5616692,15332,1001086777
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Female,18-24,US-WEST-CA,0.9335043,50357,1005248465
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Female,25-34,US-MIDWEST-IA,0.7268646,8003,1010069952
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,35-44,US-MIDWEST-SD,0.8331923,9299,1019274293
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Female,45-54,US-SOUTH-OK,1.347199,12880,1031793416
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,25-34,US-SOUTH-WV,0.4751544,37600,1034170340
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Male,35-44,US-SOUTH-TX,0.5446613,11833,1035267430
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Male,18-24,US-NORTHEAST-VT,0.5409879,31418,1045936319
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,1,Male,35-44,US-WEST-WY,0.7676748,5273,1053767733
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Female,35-44,US-SOUTH-TX,0.7882253,14851,1056873823
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Female,35-44,US-NORTHEAST-PA,0.9317431,37903,1084310463
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Female,25-34,US-NORTHEAST-PA,0.8128389,6761,1091169490
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,1,Female,18-24,US-MIDWEST-KS,0.7001006,41064,1098229765
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,55-64,US-WEST-OR,1.3911002,19251,1100354725
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Male,35-44,US-SOUTH-LA,0.5446613,57806,110471799
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,25-34,US-MIDWEST-IA,0.5022612,13495,1118154886
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Female,55-64,US-NORTHEAST-PA,1.6884078,8687,1124541778
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Male,18-24,US-NORTHEAST-CT,0.5409879,24876,1126638755
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Male,35-44,US-SOUTH-SC,0.5446613,9359,1129277602
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Male,18-24,US-NORTHEAST-NY,0.5409879,10031,1155783892
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Male,65+,US-MIDWEST-IL,2.5156008,17892,1164401617
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Male,65+,US-NORTHEAST-PA,2.8131486,23424,1174617518
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,35-44,US-SOUTH-AR,0.7882253,8677,1188943128
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,25-34,US-SOUTH-LA,0.4751544,3902,1190467173
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Female,55-64,US-SOUTH-SC,1.4283397,10938,1197231396
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,35-44,US-WEST-WA,0.7676748,16577,12007653
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Male,25-34,US-MIDWEST-IN,0.5022612,8591,1205578927
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,1,Female,35-44,US-WEST-ID,1.1109669,5346,1208585878
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Female,18-24,US-SOUTH-MD,0.6623165,7331,1214475668
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Male,65+,US-SOUTH-OK,2.379835,23239,1216496576
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Female,35-44,US-WEST-WY,1.1109669,10520,1220046006
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Female,35-44,US-NORTHEAST-ME,0.9317431,16475,1226739289
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,1,Male,25-34,US-NORTHEAST-NY,0.5616692,7288,1227307059
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Female,25-34,US-SOUTH-GA,0.687636,10552,1235721559
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,25-34,US-SOUTH-NC,0.687636,13326,1260531930
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Male,25-34,US-MIDWEST-MN,0.5022612,37900,1276886667
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Female,25-34,US-MIDWEST-IL,0.7268646,81725,1277752768
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,18-24,US-MIDWEST-KS,0.7001006,9290,1283261178
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,6,Male,18-24,US-WEST-MT,0.6450487,11129,1287091666
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Female,35-44,US-SOUTH-DE,0.7882253,8928,1289984527
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Female,35-44,US-SOUTH-TN,0.7882253,11326,1298788462
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Male,65+,US-SOUTH-SC,2.379835,12940,1303107373
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Male,18-24,US-MIDWEST-WI,0.4837674,74009,1306950205
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,25-34,US-WEST-WY,0.6697081,19296,1307339876
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,35-44,US-SOUTH-WV,0.7882253,8243,1308882285
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Male,18-24,US-WEST-UT,0.6450487,11808,1313629811
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,6,Male,18-24,US-SOUTH-TX,0.4576587,20195,131613459
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Female,55-64,US-MIDWEST-IN,1.5098243,14185,1339428778
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,55-64,US-SOUTH-DC,1.4283397,13725,1354705529
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,1,Male,55-64,US-WEST-NV,1.3911002,69201,1377529631
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Male,55-64,US-NORTHEAST-NJ,1.1666847,21319,1383960116
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Female,25-34,US-WEST-WA,0.9691911,9820,1386386932
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Female,25-34,US-SOUTH-FL,0.687636,10960,1397385697
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,25-34,US-MIDWEST-ND,0.5022612,8597,140530191
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,1,Female,55-64,US-WEST-WA,2.0131785,25724,1410542342
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Male,45-54,US-SOUTH-AR,0.9309104,13398,1438257388
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Female,35-44,US-WEST-HI,1.1109669,10615,1459272918
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,25-34,US-SOUTH-FL,0.4751544,9129,1461821322
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Male,18-24,US-SOUTH-KY,0.4576587,7782,1502523725
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,25-34,US-WEST-WA,0.9691911,8700,1510394408
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Male,35-44,US-WEST-NV,0.7676748,14192,1516105301
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Female,25-34,US-WEST-WY,0.9691911,14122,1533494466
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,45-54,US-WEST-WA,1.8988144,16398,1537585822
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,25-34,US-SOUTH-WV,0.687636,11024,1551382150
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Female,25-34,US-MIDWEST-IA,0.7268646,6778,1552412085
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Male,45-54,US-WEST-AZ,1.312075,17999,157777405
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,35-44,US-MIDWEST-MN,0.8331923,19923,1612883924
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,1,Female,35-44,US-WEST-NM,1.1109669,11590,1614118495
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,45-54,US-SOUTH-OK,1.347199,28792,1619191522
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Female,35-44,US-SOUTH-GA,0.7882253,19014,1620773515
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Female,25-34,US-WEST-ID,0.9691911,12701,1627198909
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Male,18-24,US-WEST-AK,0.6450487,10693,1636992422
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Male,35-44,US-MIDWEST-SD,0.5757334,18232,1639161351
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Male,45-54,US-NORTHEAST-ME,1.100408,12187,1641850688
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Male,25-34,US-MIDWEST-NE,0.5022612,9678,1644621431
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Male,25-34,US-MIDWEST-IL,0.5022612,7438,1652784299
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Male,18-24,US-WEST-CA,0.6450487,18533,1661330909
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,35-44,US-SOUTH-LA,0.5446613,14903,1662113569
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,18-24,US-SOUTH-KY,0.4576587,15941,1665136735
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Female,45-54,US-MIDWEST-ND,1.4240546,11253,1668586332
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,1,Female,25-34,US-SOUTH-WV,0.687636,10256,1675082334
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Female,25-34,US-MIDWEST-OH,0.7268646,25155,1675259317
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Female,45-54,US-MIDWEST-SD,1.4240546,7396,1686907198
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Female,18-24,US-WEST-WA,0.9335043,5935,1712133348
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Male,18-24,US-MIDWEST-ND,0.4837674,5226,171731215
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,7,Male,45-54,US-MIDWEST-MN,0.9840174,16802,1745600181
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,6,Male,65+,US-SOUTH-LA,2.379835,15052,1751591423
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,25-34,US-WEST-OR,0.6697081,8057,1752138430
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,2,Male,25-34,US-WEST-WA,0.6697081,14600,1757675952
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Female,18-24,US-SOUTH-AR,0.6623165,15120,1769200253
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,35-44,US-WEST-UT,0.7676748,13491,1773788085
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,5,Male,65+,US-SOUTH-GA,2.379835,28409,1783343813
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Male,25-34,US-MIDWEST-SD,0.5022612,25304,1783816495
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,4,Male,35-44,US-MIDWEST-KS,0.5757334,31955,1796568886
Think about *the average American*. How much do you trust this person to do what is best for society?,2021-04-14,3,Female,55-64,US-MIDWEST-ND,1.5098243,10203,1803982860
